textID,text,selected_text,sentiment
058d8281ef,"The first thing she said means &quot;Your new album is really good&quot; and the second thing, &quot;Don't it's broken&quot;. I am Persian!","The first thing she said means &quot;Your new album is really good&quot; and the second thing, &quot;Don't it's broken&qu",neutral
ee5b92dd36,TWEEEEEET! good morning twitterland! going to work at 1 so need to keep packing and cleaning this flat! move out in t minus one day,good mo,positive
ac60c8d53f,PC I agree... We have a problem. We must stop spending and only work!!!,We have a problem,negative
db63f19e59,yaaay for u cleaning ur room. I said hi to u the other day &amp; u didnt write me back,amp; u didnt write me,negative
a52a462bef,I cant to sleep and tomorrow i must wake up too early,I cant to sleep an,negative
c6eea72783,Hey Mia!! Go to bed!! (deangeloredman live &gt; http://ustre.am/2NlC),Hey Mia!! Go to bed!,neutral
47eac3338e,Why is it that &quot;shipping &amp; handleing&quot; are soooo expensive??? It is more than 50% of my entire order! Not ordering yet.,ing&quot; are soooo,negative
09a0ae9f66,Our weekend was also great... two friends of Julia were here for four days...,great.,positive
4cfb203834,just finished Emergency - by Neil Strauss - another great read Neil - congrats miss you by the way!,just finished Emergency - by Neil Strauss - another great read Neil - congrats miss you by the way,neutral
fc93cbf8e2,i blame you all! got it??? good :p she better be in good condition 2! &lt;33 night,i blame you all! got it??? good :p she better be in good condition 2! &lt;33 nig,neutral
a8904c7fd6,that's no bueno...hope u feel better!,..hope u feel better!,positive
151bba80ca,"had a good day driving up mountains, visiting katie, eating chips &amp; fudge and stocking up on lovely smelling soaps",on love,positive
ce7cbb3384,"Soo embarassed I didn't see the tweets I've been getting from kind followers. I'll do better, I promise!!!","Soo embarassed I didn't see the tweets I've been getting from kind followers. I'll do better, I promise!!",neutral
f0b9b8a9e0,You can't spell #melo without e m and o... &lt;3 to my favorite blogging site.,&lt;3 to my favorite blogging sit,positive
f0f1061151,back from dinner w. my family. i'm not meeting christine anymore sunny weather tomorrow and a day out &amp; about. i want red bull!,back from dinner w. my family. i'm not meeting christine anymore sunny weather tomorrow and a day out &amp; about. i want red bul,neutral
39c1e028ac,yeha i broke their page... damit... im trying to fix it how... hope you dont bank with communityfirstandtrust,damit..,negative
6fb6f07801,Not so good I think that's my fault though - didn't use buttermilk. Recipe was on back of the flour.,y fault,negative
1171ab4413,"_Chip That's right! I totally forgot. Might not be till August, though Have a great summer!!",Have a great summe,positive
5665d14b41,..people you love.... wait i am not there,love.,positive
cc718e4767,I think you are super cute...,cute..,positive
a450b33ed1,_sm I'll have a look. Do you live in the centre of Glasgow? I was born on Bellshill &amp; grew up in Bothwell. I miss Tunnocks pies,ll. I miss Tunnocks pi,negative
aeebeda0dd,twist cld u follow me ill love u forever,l love,positive
b31a0ce70d,"--sorry for running over uncle Terry, but he just wasn't living up to his potential. expecting more from his next return.",-sorry,negative
4a7c71fcd1,"NAPLAN testing, tuesday, wednesday &amp; thursday. i'm afraid about the maths one, english ,not so much",day. i'm afraid about the maths,negative
16025e2359,_WOCKEEZ Don't wanna miss ANY of your shows...you guys kick it! Sad to say...my plane is in the shop...,Sad to say.,negative
b333707153,also. proof number #2923848932 that I have no life - I have an imaginary boyfriend named Vince. It's sad that my friends encourage me so.,sad th,negative
d632d916e1,"Omnomnom JUST came online to 69 unread emails, as well as my backlog from yesterday http://tinyurl.com/lxjdjc","Omnomnom JUST came online to 69 unread emails, as well as my backlog from yesterday http://tinyurl.com/lxjd",neutral
bf6db751ef,Evaluating my people...Dont like this part of the job,Dont like this part of the job,negative
6d630ebbcb,Happy mother's day everyone!,Happy mother's day ev,positive
c6fb921d11,Left &quot;Up&quot; due to out-of-focus projection. Hopefully my complaints to theater management will get it fixed for everyone else still there.,Left &quot;Up&quot; due to out-of-focus projection. Hopefully my complaints to theater management will get it fixed for everyone else st,neutral
8fd6a28145,"it's tongue in cheek of some mentalities.There is another one which takes the piss of arabs, but its too long",".There is another one which takes the piss of arabs,",negative
cbae350081,THiNKiNG 0f HiM &lt;3,THiNKiNG 0f HiM &lt;,neutral
ee30bf8953,i'm yours - jason mraz....looking for an electric guitar yay!!!1,yay!,positive
4dafa796c5,"what about the dilfs? Oh wait, wrong month....HAPPY MOTHERS DAY",.HAPPY MOTHERS DAY,positive
3a8a6432ad,Apple has done some impressive things for my almost 2 year old macbook. Except when I poured coffee into the keyboard.,Apple has done some impressive things for my almost 2 year old macbook,positive
7dc4339828,maybe he could drill a hole in me? LOL OH SNAP! (sorry couldn't resist),maybe he could drill a hole in me? LOL OH SNAP! (sorry couldn't resi,neutral
4591bce14e,think you should catch up on your sleep befor you go back to uni haha goodnight&lt;3,haha goodnight,positive
375b8367d1,Yeah they are! So stop making fun of me! I gotta get new ones,o stop making fun of me!,negative
b250fc6615,i couldnt call you because the time on my phone would run out so if you can give me a shoutout on here i will be happy,e happy,positive
1434b25cb5,just woke up...dont want to go into work at 4,dont want to go into work,negative
3a9280227d,Neville88 am gud enuh hun...was jus sayin hi n hopin that ur avin a gud nite so far..HAPPY LADIES DAY 2MORO THEN...is dat better,HAPPY,positive
f1dadac45b,"Welcome to Twitter It's really cool that you are here! Greetings from Vienna,Austria",ly coo,positive
7c1f28b126,yer it is...poor little **** but she well doesnt deserve the stick off everyone! cowell once again going against producer,ll doesnt deserv,negative
488ad3f353,"Had a nice concert yesterday. Nice location, nice people, it was great. But I have a bad cold since yesterday night Being sick sucks!",nice co,positive
8ee090e3f2,DIDO &quot;US 2 Little Gods&quot; http://ow.ly/9UIn &quot;Just this moment/ Let it all stop here/ I've had my fill&quot;...words that make you panic...,words,negative
eb750f1bb0,"Good morning, baby Yes, i slept like a rock. Refreshed &amp; ready for anything. How are you? *hugs you &amp; doesn't let go* Miss u","Good morning, baby Yes, i slept like a rock. Refreshed &amp; ready for anything. How are you? *hugs you &amp; doesn't let go",neutral
95892d270c,_trees True. That's kind of your style isn't it and less of the &quot;old chap&quot; ;-),True. That's kind of your style isn't it and less of the &quot;old chap,neutral
55c7927962,"you can have ice cream, I'll have kiss.","you can have ice cream, I'll have kis",neutral
320d33101f,goodnight!!!,goodnight!!,positive
891807b682,yeah I'm fine not to raid most things. Excepting liquor and cheese &amp; bacon balls,yeah I'm fine not to raid most things. Excepting liquor and cheese &amp; bacon ba,neutral
4f3c295673,Our plane had landed!! FINALLY gonna get to board...an hour late. stupid rain!!!,stupid rain!,negative
ed1c3cdcd5,im trying to fix myself really but i need to stop cutting myself,o stop,negative
a0fc691a5b,it was nice to meet you tonight &amp; thanks!!,it was nice to meet you tonight &amp; thank,positive
295b313e7e,when it rains it pours - how true is that? I'm so sorry I hate those kinda times.,? I'm so sorry I hate those kinda times.,negative
bf51b25919,&lt;-----bored to death,---bored to deat,negative
d38f977f51,"haha what can i say, you're a great teacher!! you learned from the best... Hannah Montana",you're a great teacher!,positive
1871cab8f0,You're right....I'm 29 and I've heard the song a time or two,You're right.,positive
0057e9145b,why you stop following me? Was I not cool enough for you?,? Was I not cool,negative
99f5075dd0,so far surprisingly good responses. My dad offered to airbrush the old logo on the wall..but I think that might be overkill,y good,positive
9e2efa4896,"hey!, which song was that? I would like to listen to it",d like to,positive
e25b77052a,ok2 g'nyt? Haha too early.,? Haha too early.,positive
4eac33d1c0,wish we could come see u on Denver husband lost his job and can't afford it,d lost,negative
2d0a3b4337,*hugs hugs hugs* I'm glad you're feeling better.,* I'm glad,positive
77a1abb2ba,mom just woke me u[p and i am so mad i was dreaming about shoes she whants me to go to the river it is so stupid,o stupid,negative
c036fc3918,This weekend I started a &quot;Healthy Lifeestyle&quot; - not Diet! Let's see how it goes - will keep ya posted on my progress.,quot;Heal,positive
6240f33053,"_Punk_Robot wtf.....winter isn't due til monday, am freezing",wtf.,negative
698c60aa2f,I can't believe how tired I am right now... I don't know if I can go out tonight... Exhaaaausted!!,Exhaaaausted,negative
c4f56b7a27,"Love song for the night, &quot;Then&quot; by Brad Paisley. Happy Mother's Day Love &amp; Light ~ Joy",Paisley. Happy Moth,positive
05f1c836d7,ohhh I remember when you gave your dad a shoutout at the mcr at MSG show last year. that was so sweet,. that was so sweet,positive
90491300b6,"Gleneagles then champagne receptions....can't beat it! I'm in alone, my tea was rubbish and Ive been doing housework","..can't beat it! I'm in alone, my tea was rubbish and Ive been doing housework",negative
7960915867,13:00 is kickoff. The red cars hopefully,. The red cars hopefully,positive
de79cc363c,I had bad net issues on Weds so couldn't broadcast Am on tonight tho... tune in for new anthems and bad mixing!,d bad,negative
ba44eb7f2d,Gees can this week get anymore horrible....now i cant go to spain,can this week get anymore horrible..,negative
afd97cdf46,Prom's over. At denny's now with katie and kelly&lt;3,Prom's over. At denny's now with katie and kelly&lt,neutral
2863f435bd,"A little happy for the wine jeje ok it'sm my free time so who cares, jaja i love this day",A little happy fo,positive
0770e56118,"u go Mariah,never listen to the haters I have been a fan for so long and am so grateful for ur music. Can't wait 4 the album",m so grateful for ur music,positive
42c0e9568e,&amp; I got too much work to do,amp; I got too much work to,neutral
0a542ae798,tomorrow is mothers day. so good food &amp; presents for mom. good to be back &amp; go to the junction with the coolest people at ollies,om. good to be back &amp; go to the junction with the coolest people at,positive
9941608da8,"Good lord, man. I recommend the Dark &amp; Stormy at Casablanca.","Good lord, man. I recommen",positive
fa107f1cf6,"But then you might end up like that poor bus driver... And, this is kinda weird, but I wish I was there today! :o",poor bus driver.,negative
3a98977b6d,_Thomas ahhhh probably will...not good u been Dubai before??,not good,negative
0bcb6eba9a,I was so hype about it being Friday &amp; it raining outside..No rain all day... But its rainin when its time to kick-it..Mr Sun is trippin.,I was so hype about it being Friday &amp; it raining outside..No rain all day... But its rainin when its time to kick-it..Mr Sun is trippi,neutral
eadb5f8e35,"LOL --&gt; don't mention it, my pleasure!!","n it, my pleasur",positive
dd8ef5e6c0,I have just read up on lactose stuff and I CAN EAT HARD CHEESE!!! There is no lactose in it!!! *Jumps of Joy this rainy day* YAY!!!!,Jumps of Joy,positive
2250a4bd68,Better than nodding off when you're &quot;IN&quot; one LOL,Better than nodding off when you're &quot;IN&quot,neutral
1555aee6cb,The nocturnal serendipity... Kashmir is an important means to that end...,serendipity..,positive
e06bc00a87,lol very much appreciated!!! so excited!!!,appreciated!,positive
26dfa4924b,Happy Star Wars Day! .... May the 4th Be with You!,Happy St,positive
593cdceed0,That is the 3rd NKOTB contest that Canadians can't enter The overseas fans have theirs now! It's bound to be our turn!,That is the 3rd NKOTB contest that Canadians can't enter The overseas fans have theirs now! It's bound to be our tur,neutral
6a2aa44ccc,Goodmorning to you!Thank you so much for being so kind? The sun is out and I'm going to paint outside,!Thank you so much for being so kind?,positive
10b3055e25,i &lt;3 my new picture! its so pretty with the reflecting sunlight on the leaves!,e! its so pretty with the reflecting sunlight,positive
11370b4eed,its my birthday.....happy birthday to me!!!!,happy birthday to me!!!!,positive
58c4d70957,Watching The Nightmare Before Christmas &lt;3 Ask me if I care that neither Halloween nor Christmas is any time soon,Watching The Nightmare Before Christmas &lt;3 Ask me if I care that neither Halloween nor Christmas is any time soo,neutral
35a1325e9e,they don't use MSN either I don't think and they are thousands of miles away so can't do it face to face,o can't do it,negative
17dd98db9a,Listening to Obama with one ear &amp; listening to music with the other,Listening to Obama with one ear &amp; listening to music with the othe,neutral
c0c9f36158,Can you talk to my hubby and convince him that that's a great present for ALL mommies???,that that's a great present for ALL mommie,positive
dea8c68755,Okay...So I have an AIM account now...Send me ur S/N's on there so I can add u...Thx!,Thx!,positive
abc732bed8,_assassin We are soooo sorry We love kitties and know how much they become a part of you.,We are soooo sorry We love kittie,neutral
2a806d99bc,i noticed that you were on the same hallway....**** No worries about the BBQ....I'm hoping there will be more to come!!!,i noticed that you were on the same hallway....**** No worries about the BBQ....I'm hoping there will be more to come!!,neutral
a8c660c984,&quot;Mamma Who Bore Me&quot; hat es mir echt angetan. 90210 lï¿½sst grï¿½ï¿½en. ^^,quot;Mamma Who Bore Me&quot; hat es mir echt angetan. 90210 lï¿½sst grï¿½ï¿½en. ^^,neutral
187745f502,&quot;my name is Tony!!!!!! ...not hey!!!!&quot; - poor tony,!!&quot; -,negative
e04fa17673,graandma's houseee i havee too leave now! &lt;3,graandma's houseee i havee too leave now! &lt,negative
e52de75122,Strike one. (Three and I'm out.),(Three and I'm out,negative
7e785e48c9,good tip..... but then my boss would read .... exactly what im supposed to do and would know where I was with the project,good tip.,positive
1c504a4734,It's so not like me I'm in the middle of coordinating a 3-point move: stuff from IL --&gt; old NYC apt + all stuff --&gt; new apt.,It's so not like me I'm in the middle of coordinating a 3-point move: stuff from IL --&gt; old NYC apt + all stuff --&gt; ne,neutral
3b370504d8,I'm bummed to miss you. Hope you enjoy your writing conf. tho!,o miss,negative
323e53905b,i bet they will be great bags! Can't wait!,! Can't wait!,positive
b36197ce92,Crisis: forgot my fringe comb I'm with men....no one will help me,.no one will help me,negative
52852cfa55,SORRY! I couldn't help it. 'Twas to try and get if on the trending topics.,SORRY,negative
62435506e2,today was the BEST &lt;3 eff yeah i &lt;3,today was the BEST &lt;,positive
2abfdd61fe,(sigh) guess we're not gonna meet up today.,sigh),negative
ef09fd984c,"be clear, I am Catholic, but wholeheartedly agree with you. (&quot;Same here&quot; was ambiguous) #tcot #hhrs",t wholeheartedly agree with you.,positive
975d0afe6a,no. and she was suggesting it for loan deferment,s suggesting,positive
c22ff98d0e,I'm just bustin' ya chops; it's not bad. Never seen any real appeal to last.fm is all. Bad quality audio from **** artists,; it's not bad. Never seen any real appeal to last.fm is all. Bad quality audio from **** artists,neutral
a08e24b2d4,aww I wish there was sun out here. Then I can get a tan!!!! (walks it out) go meee go meeee,w I wish,positive
9d564870dd,"&quot;A hike in the woods with four little kids couldn't be that exhausting, right? Wrong.&quot; LOL.. Try downright masochistic!","&quot;A hike in the woods with four little kids couldn't be that exhausting, right? Wrong.&quot; LOL.. Try downright ma",neutral
326740433c,Came from Greenbelt &amp; Power,Came from Greenbelt &amp; Powe,neutral
22158946bd,"Thinking of ways to promote Indie Designers. Benefiting them and moi Any thoughts? Indies, what you do have to say?",Benefiting th,positive
bcdf349242,"I didn't get the job at Stuff Magazine Dammit, that would have been amazing!! Oh well.","e Dammit, that would have been amazing!! Oh well.",neutral
230738eec2,Woke up late &amp; trying to get **** done before work,Woke up late &amp; trying to get **** done before wo,negative
3016c37350,: &quot;&quot;UB40-&quot;Bring Me Your Cup&quot;&quot;&quot; ? http://blip.fm/~7af72,: &quot;&quot;UB40-&quot;Bring Me Your Cup&quot;&quot;&qu,neutral
8731f9f41f,officially MOSS doesnt work on Vista but unofficially its fine,officially MOSS doesnt work on Vista but unofficially its fi,neutral
feea5525dc,Down again seems like it never gonna stop and I'll never get what i want,d I'll never get what i want,negative
96a73f85a5,"wish I was feeling better...I've been holding a potential cold at bay for a few days now &amp; I think it is winning...aches, cough","wish I was feeling better...I've been holding a potential cold at bay for a few days now &amp; I think it is winning...aches, cou",neutral
1b9afa81bf,Waiting for 5:00 &amp; having cramps,ing cram,negative
33f75c1951,WGN is playing old episodes of Rocky &amp; Bullwinkle. Fractured Fairy Tales for the win,WGN is playing old episodes of Rocky &amp; Bullwinkle. Fractured Fairy Tales for the wi,neutral
2d2b117213,WTF!!!! LMAO!!! *Just got hit in the head with bloody balls*,WTF!,negative
f6986dc509,tell everybody i said happy mothers day! love ya! #1 fan love you miley you rock,d happy mothers day! love ya! #1 fan love you miley you rock,positive
e13effbbd6,So tired and I have to work till 10:30 tonight! Happy mothers day to everyone too http://tinyurl.com/qu62bl,Happy mothers day to everyon,positive
f30f137d20,@ Sly party enjoying life partying tonight.....maybe?,enjoying life partying tonight.,positive
f5dddf7af3,is getting ready for another makeup baseball game. Played the same team last night &amp; got run ruled.,is getting ready for another makeup baseball game. Played the same team last night &amp; got run rul,neutral
9457c9ad0f,Word. Yayy twitter after dark lol.,. Yayy,positive
68f79be259,Right here! Army Wife in Germany! I can't STAND that I cannot be there this summer!,! I can't STAND that I cannot be there this summer!,negative
7d2fc0d960,Home w/bae &amp; Myka.. He's so meann,He's so mea,negative
5a7c51d790,someone came in when I was sleeping off my national passtime and turned me human,d turned me human,positive
13fbc75291,Going to church in the morning...happy mommas day almost,happy,positive
aa4c750c17,Right on! Pull up a chair and welcome,d welcome,positive
306fb633c9,Cancelling my JavaOne http://ff.im/3nzTH,Cancelling my JavaOn,negative
884db95b60,excuse me ...theres me!!! jkidding lol...so how long b4 yr fun night out starts lol,r fun,positive
ecf3388f54,Wife &amp; I split duties tonight.Wife headed to OSU for daughter's ath trng rcption. I'm at son #1's school paper banquet.Can't make both.,Wife &amp; I split duties tonight.Wife headed to OSU for daughter's ath trng rcption. I'm at son #1's school paper banquet.Can't make both,neutral
57b8518fa1,lol awww lol i will i can't do it now lol cauz i have to work but i will make one and tell you love you 2 oxoxoteambreezy,d tell you love you 2 oxoxoteambreezy,positive
932a24c498,No worries.. Going to ABP right now. Want something?,No worries.,positive
bba7fc173b,crashing from my WI high...missing mayfield,missing,negative
4d73395dbd,It's sunny and I feel really well today! Yippeee!,really well to,positive
42f7f6aae7,says misses my cousins so badly!!! http://plurk.com/p/x2bha,misses my cousins so badly!!,negative
a88287bbda,"i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",m sorry,negative
1f8822eae6,Aw poor you..ironing! Eek! lol It's raining here too.....prob try and get out with the kids later..nt too exciting im afraid!,.nt too exciting im afraid!,negative
257ae8e5d5,Son's 15th Birthday this weekend.Taking him out for a Mexican meal and a major game buying spree.I miss the Lego days,I miss the Lego days,negative
e60f1b5116,"Aww i used to do that when i was little, not so much now ;) haa. Lazy shiit.",. Lazy shiit.,negative
d1c5320224,Aww Yeah I feel you. I know its hard.,. I know its hard,negative
1548476690,Traffic jam outside of chicago. I feel very &quot;office space&quot; right now.,I feel very &quot;office space&quot; ri,positive
af9793fab2,nah they were mine had ones without fingers,nah they were mine had ones without finger,neutral
29afbab19c,"Happy Mothers Day! Same day, more chocolate",Happy Mo,positive
89fbc71b73,Itsurely will dear . in posted a presentation on Swine flu yest and it got 500 downloads in just a day!!i feels great,!i feels great,positive
7970872189,http://bit.ly/wZK3o &lt;--- Paranoid. I actually like it better performed live rather than the studio version.,--- Paranoid. I actually like it better performed live rather than the studio versio,neutral
602f95a0f6,We're running out of things to tweet to you. Wish we could get your reply! Come to the Philippines? TWEEET!,We're running out of things to tweet to you. Wish we could get your reply! Come to the Philippines? TWEEET,neutral
ce4954f532,having Bigi &amp; Tokyo Fashion Spree tmr Check out SIH web ^____^,having Bigi &amp; Tokyo Fashion Spree tmr Check out SIH web ^___,neutral
83c1373401,Suspect tax-man is at fault....,fault.,negative
23b009845d,sounds good!! Can't wait,sounds good!,positive
d7416471c6,Yes. Nag twitter. HAHA Thanks. LM.,HAHA Thanks,positive
6fba4792dd,"morning all will be at Warner soon! lots to do, then go to school for some work... hope everyone has a great day!!!",.. hope everyone has a great day!!!,positive
a8ea5e9a49,Have a great day..... if the rain keeps up I may go swimming instead of dining here,Have a great day.,positive
c400a6bf99,"alas, I am moving (like where i'm moving too, but the actual moving, ugh) wish I could go too!",h) wish I could go too,positive
6d84858c19,Is anyone's #visialvoicemail working. Have done the sync. Turned off &amp; on. But still not going Help?,Is anyone's #visialvoicemail working. Have done the sync. Turned off &amp; on. But still not going Hel,neutral
5d3c1810ed,"if i can buy sleep for you, i will... that's what you need!",i will.,positive
6d57e5fcb0,_KittyKat hello new follower haha!! how are ya?,haha!,positive
4ba7c470aa,"hun are you okay? I see alot of your posts your exercising like mad,not eating or sleeping","mad,",negative
b507cce1a4,"I'm home, Yay! Unpacked everything, now just got to wash it all",Yay! Un,positive
c0f1164771,because i stopped today :S wish me luck..... (had to overload first),wish me luck.,positive
fe5de15d7b,You really are always dirty!!! Ha ha!!!! Do you have a **** addiction???,dirty!,negative
a34ca30e69,"haha, i was crying ****",s crying,negative
77ba0fee75,#powerblog What is this powerblog challenge you keep talking about? I'm a newbie follower,g What is this powerblog challenge you keep talking about? I'm a newbie followe,neutral
9a46755aad,lol thanks. I do like to be on top. I'm going to enjoy this. How long can I be up there?,o enjoy,positive
3607fa2202,"i know the feeling, working so much sucks hardcore. we need to hang out soon",ch sucks hardcore,negative
774687e979,what good role models... i like how yinz think!,what good role models,positive
